#               time [ns]          Re(ampl) [Vpcm]          Im(ampl) [Vpcm]
  1.10581730906597353E+00 -1.08725616450129143E-04  6.48081621301040784E-04
  1.10904597274207850E+00 -1.12659391396580924E-04  6.51270165662579700E-04
  1.11227463641818369E+00 -1.16630154176687259E-04  6.54445854287053126E-04
  1.11550330009428844E+00 -1.20637927414531324E-04  6.57608380371722898E-04
  1.11873196377039363E+00 -1.24682731480819313E-04  6.60757436284210137E-04
  1.12196062744649860E+00 -1.28764584483593132E-04  6.63892713578063845E-04
  1.12518929112260380E+00 -1.32883502259048948E-04  6.67013903008412991E-04
  1.12841795479870877E+00 -1.37039498362458520E-04  6.70120694547697636E-04
  1.13164661847481374E+00 -1.41232584059198418E-04  6.73212777401480285E-04
  1.13487528215091871E+00 -1.45462768315880438E-04  6.76289840024334112E-04
  1.13810394582702390E+00 -1.49730057791593469E-04  6.79351570135814016E-04
  1.14133260950312887E+00 -1.54034456829247549E-04  6.82397654736498042E-04
  1.14456127317923406E+00 -1.58375967447030080E-04  6.85427780124113809E-04
  1.14778993685533903E+00 -1.62754589329965044E-04  6.88441631909734314E-04
  1.15101860053144378E+00 -1.67170319821585868E-04  6.91438895034051162E-04
  1.15424726420754897E+00 -1.71623153915714463E-04  6.94419253783726069E-04
  1.15747592788365394E+00 -1.76113084248350307E-04  6.97382391807810234E-04
  1.16070459155975914E+00 -1.80640101089672988E-04  7.00327992134241887E-04
  1.16393325523586411E+00 -1.85204192336150923E-04  7.03255737186412894E-04
  1.16716191891196908E+00 -1.89805343502766707E-04  7.06165308799810727E-04
  1.17039058258807405E+00 -1.94443537715350309E-04  7.09056388238726333E-04
  1.17361924626417924E+00 -1.99118755703029776E-04  7.11928656213039546E-04
  1.17684790994028421E+00 -2.03830975790789565E-04  7.14781792895066281E-04
  1.18007657361638940E+00 -2.08580173892147953E-04  7.17615477936480220E-04
  1.18330523729249437E+00 -2.13366323501945843E-04  7.20429390485299338E-04
  1.18653390096859934E+00 -2.18189395689251907E-04  7.23223209202942890E-04
  1.18976256464470431E+00 -2.23049359090382278E-04  7.25996612281351291E-04
  1.19299122832080928E+00 -2.27946179902036874E-04  7.28749277460172783E-04
